experiment_id,dataset,model,epochs,batch_size,train_fraction,train_samples,random_seed,augmentation,dropout_rate,weight_decay,optimizer,learning_rate,device,duration_seconds,best_epoch,best_train_accuracy,best_test_loss,best_test_accuracy,generalization_gap
20260731_093443,cifar10,SimpleCNN,10,64,1.0,50000,42,none,0.0,0.0,SGD,0.1,cuda,70.26,10,0.9546,1.4433,0.7037,0.2509
20260805_105722,cifar10,SimpleCNN,10,64,0.1,5000,42,none,0.0,0.0,SGD,0.1,cuda,19.58,9,0.7024,1.8329,0.4545,0.2479
20260805_110218,cifar10,SimpleCNN,10,64,0.25,12500,42,none,0.0,0.0,SGD,0.1,cuda,29.2,10,0.9018,1.5435,0.617,0.2848
20260806_181035,cifar10,SimpleCNN,10,64,0.5,25000,42,none,0.0,0.0,SGD,0.1,cuda,44.31,10,0.9457,1.5172,0.6713,0.2744
20260806_181411,cifar10,SimpleCNN,10,64,1.0,50000,42,none,0.0,0.0,SGD,0.1,cuda,102.46,10,0.9558,1.4035,0.7151,0.2407
20260809_115116,cifar10,SimpleCNN,10,64,0.1,5000,42,basic,0.0,0.0,SGD,0.1,cuda,19.75,9,0.459,1.6561,0.439,0.02
20260809_214403,cifar10,SimpleCNN,10,64,0.1,5000,42,strong,0.0,0.0,SGD,0.1,cuda,24.72,10,0.4534,1.4964,0.4567,-0.0033
20260809_221037,cifar10,SimpleCNN,10,64,0.25,12500,42,basic,0.0,0.0,SGD,0.1,cuda,28.75,8,0.5691,1.2141,0.5675,0.0016
20260809_221525,cifar10,SimpleCNN,10,64,0.25,12500,42,strong,0.0,0.0,SGD,0.1,cuda,52.03,7,0.5211,1.2976,0.5466,-0.0255
20260809_221832,cifar10,SimpleCNN,10,64,0.5,25000,42,basic,0.0,0.0,SGD,0.1,cuda,45.11,10,0.6783,0.8536,0.704,-0.0257
20260810_102000,cifar10,SimpleCNN,10,64,0.5,25000,123,basic,0.0,0.0,SGD,0.1,cuda,49.32,10,0.676,0.8909,0.6902,-0.0142
20260810_102616,cifar10,SimpleCNN,10,64,0.5,25000,123,none,0.0,0.0,SGD,0.1,cuda,38.66,9,0.9124,1.2491,0.6652,0.2472
20260812_204728,cifar10,SimpleCNN,10,64,0.25,12500,123,none,0.0,0.0,SGD,0.1,cuda,26.13,10,0.8996,1.4184,0.6199,0.2797
20260812_205107,cifar10,SimpleCNN,10,64,0.25,12500,123,none,0.0,0.0001,SGD,0.1,cuda,26.1,10,0.8971,1.5615,0.5914,0.3057
20260812_205458,cifar10,SimpleCNN,10,64,0.25,12500,123,none,0.0,0.001,SGD,0.1,cuda,25.51,9,0.828,1.4147,0.602,0.226
20260812_212728,cifar10,SimpleCNN,10,64,0.25,12500,123,none,0.3,0.0,SGD,0.1,cuda,24.68,10,0.7902,1.1985,0.6317,0.1585
20260812_213800,cifar10,SimpleCNN,10,64,0.25,12500,123,none,0.5,0.0,SGD,0.1,cuda,24.91,9,0.6922,1.1571,0.6104,0.0818
20260812_220738,cifar10,SimpleCNN,10,64,0.25,12500,123,none,0.3,0.001,SGD,0.1,cuda,24.59,9,0.7366,1.1725,0.621,0.1156
